Line,Purpose,Trait,Field_experiment
2MS16_4135-047,Experimental,HD_DON_no_corr,FHB
2MS16_4135-048,Experimental,HD_DON_no_corr,FHB
2MS16_4135-049,Experimental,HD_DON_no_corr,FHB
2MS16_4135-050,Experimental,HD_DON_no_corr,FHB
2MS16_4135-051,Experimental,HD_DON_no_corr,FHB
2MS16_4135-052,Experimental,HD_DON_no_corr,FHB
2MS16_4135-053,Experimental,HD_DON_no_corr,FHB
2MS16_4135-054,Experimental,HD_DON_no_corr,FHB
2MS16_4135-055,Experimental,HD_DON_no_corr,FHB
2MS16_4135-056,Experimental,HD_DON_no_corr,FHB
2MS16_4135-057,Experimental,HD_DON_no_corr,FHB
2MS16_4135-058,Experimental,HD_DON_no_corr,FHB
2MS16_4135-059,Experimental,HD_DON_no_corr,FHB
2MS16_4135-060,Experimental,HD_DON_no_corr,FHB
2MS16_4135-061,Experimental,HD_DON_no_corr,FHB
2MS16_4135-062,Experimental,HD_DON_no_corr,FHB
2MS16_4135-063,Experimental,HD_DON_no_corr,FHB
2MS16_4135-064,Experimental,HD_DON_no_corr,FHB
2MS16_4135-065,Experimental,HD_DON_no_corr,FHB
2MS16_4135-066,Experimental,HD_DON_no_corr,FHB
2MS16_4135-067,Experimental,HD_DON_no_corr,FHB
2MS16_4135-068,Experimental,HD_DON_no_corr,FHB
2MS16_4135-069,Experimental,HD_DON_no_corr,FHB
2MS16_4135-070,Experimental,HD_DON_no_corr,FHB
2MS16_4135-071,Experimental,HD_DON_no_corr,FHB
2MS16_4135-072,Experimental,HD_DON_no_corr,FHB
2MS16_4135-073,Experimental,HD_DON_no_corr,FHB
2MS16_4135-074,Experimental,HD_DON_no_corr,FHB
2MS16_4135-075,Experimental,HD_DON_no_corr,FHB
2MS16_4135-076,Experimental,HD_DON_no_corr,FHB
2MS16_4135-077,Experimental,HD_DON_no_corr,FHB
2MS16_4135-078,Experimental,HD_DON_no_corr,FHB
2MS16_4135-079,Experimental,HD_DON_no_corr,FHB
2MS16_4135-080,Experimental,HD_DON_no_corr,FHB
2MS16_4135-081,Experimental,HD_DON_no_corr,FHB
2MS16_4135-082,Experimental,HD_DON_no_corr,FHB
2MS16_4135-083,Experimental,HD_DON_no_corr,FHB
2MS16_4135-084,Experimental,HD_DON_no_corr,FHB
2MS16_4135-085,Experimental,HD_DON_no_corr,FHB
2MS16_4135-086,Experimental,HD_DON_no_corr,FHB
2MS16_4135-087,Experimental,HD_DON_no_corr,FHB
2MS16_4135-088,Experimental,HD_DON_no_corr,FHB
2MS16_4135-089,Experimental,HD_DON_no_corr,FHB
2MS16_4135-090,Experimental,HD_DON_no_corr,FHB
2MS16_4135-091,Experimental,HD_DON_no_corr,FHB
2MS16_4135-092,Experimental,HD_DON_no_corr,FHB
2MS16_4135-093,Experimental,HD_DON_no_corr,FHB
2MS16_4135-094,Experimental,HD_DON_no_corr,FHB
2MS16_4135-095,Experimental,HD_DON_no_corr,FHB
2MS16_4135-096,Experimental,HD_DON_no_corr,FHB
2MS16_4135-097,Experimental,HD_DON_no_corr,FHB
2MS16_4135-098,Experimental,HD_DON_no_corr,FHB
2MS16_4135-099,Experimental,HD_DON_no_corr,FHB
2MS16_4135-100,Experimental,HD_DON_no_corr,FHB
2MS16_4135-101,Experimental,HD_DON_no_corr,FHB
2MS16_4135-102,Experimental,HD_DON_no_corr,FHB
2MS16_4135-103,Experimental,HD_DON_no_corr,FHB
2MS16_4135-104,Experimental,HD_DON_no_corr,FHB
2MS16_4135-105,Experimental,HD_DON_no_corr,FHB
2MS16_4135-106,Experimental,HD_DON_no_corr,FHB
2MS16_4135-107,Experimental,HD_DON_no_corr,FHB
2MS16_4135-108,Experimental,HD_DON_no_corr,FHB
2MS16_4135-109,Experimental,HD_DON_no_corr,FHB
2MS16_4135-110,Experimental,HD_DON_no_corr,FHB
2MS16_4135-111,Experimental,HD_DON_no_corr,FHB
2MS16_4135-112,Experimental,HD_DON_no_corr,FHB
2MS16_4135-113,Experimental,HD_DON_no_corr,FHB
2MS16_4135-114,Experimental,HD_DON_no_corr,FHB
2MS16_4135-115,Experimental,HD_DON_no_corr,FHB
2MS16_4135-116,Experimental,HD_DON_no_corr,FHB
2MS16_4135-117,Experimental,HD_DON_no_corr,FHB
2MS16_4135-118,Experimental,HD_DON_no_corr,FHB
2MS16_4135-119,Experimental,HD_DON_no_corr,FHB
2MS16_4135-120,Experimental,HD_DON_no_corr,FHB
2MS16_4135-121,Experimental,HD_DON_no_corr,FHB
